filename,0_0,0_1,0_2,0_3,0_4,1_0,1_1,1_2,1_3,1_4,2_0,2_1,2_2,2_3,2_4,3_0,3_1,3_2,3_3,3_4,4_0,4_1,4_2,4_3,4_4
Confusion matrix Baseline.png,431,25,5,0,39,74,412,9,0,5,24,13,436,14,13,2,2,1,495,0,0,12,0,0,488
Confusion matrix GDA 1.png,450,17,3,2,28,76,405,15,1,3,8,0,473,11,8,0,2,1,497,0,0,13,0,0,487
Confusion matrix GDA 2.png,446,21,3,1,29,76,403,12,3,6,9,1,476,10,4,0,0,0,500,0,0,8,1,0,491
Confusion matrix GDA 3.png,429,34,2,2,33,63,421,8,2,6,12,2,470,8,8,2,2,1,495,0,0,13,2,0,485
Confusion matrix GDA 4.png,436,29,12,2,21,81,392,19,5,3,18,2,465,12,3,4,3,0,492,1,0,13,1,0,486
Confusion matrix GDA 5.png,439,34,4,0,23,91,390,14,2,3,12,4,475,6,3,6,1,1,491,1,0,25,2,0,473
Confusion matrix GDA 6.png,443,27,8,1,21,90,391,13,4,2,17,4,471,6,2,5,0,1,493,1,0,19,2,0,479
Confusion matrix GDA 7.png,445,22,11,1,21,106,370,22,1,1,22,8,464,3,3,6,0,1,493,0,1,23,13,0,463
Confusion matrix GDA 8.png,435,29,15,2,19,123,354,21,2,0,26,18,445,11,0,8,0,2,490,0,2,12,6,0,480
Confusion matrix GDA 9.png,443,14,17,5,21,113,346,37,2,2,28,6,455,6,5,10,2,0,488,0,0,9,4,0,487
Confusion matrix TDA.png,452,10,2,0,36,73,406,18,1,2,9,6,473,3,9,0,2,3,494,1,0,6,0,0,494
Confusion matrix Training Config 1 Baseline.png,444,20,11,1,24,73,415,10,0,2,11,0,477,6,6,6,0,7,484,3,0,7,0,0,493
Confusion matrix Training Config 1 CDA.png,449,13,14,1,23,76,409,14,0,1,9,2,483,0,6,1,1,0,497,1,0,5,0,0,495
Confusion matrix Training Config 2 Baseline.png,112,48,33,266,41,47,167,31,235,20,46,66,137,225,26,10,33,5,450,2,1,33,3,200,263
Confusion matrix Training Config 2 CDA.png,361,47,32,47,13,139,249,63,43,6,26,31,414,28,1,33,5,27,434,1,6,49,0,0,445
Confusion matrix Training Config 3 Baseline.png,425,28,15,2,30,101,386,8,1,4,7,4,465,13,11,4,0,1,494,1,0,4,0,0,496
Confusion matrix Training Config 3 CDA.png,443,19,11,1,26,82,404,7,1,6,0,1,487,7,5,2,0,1,496,1,0,0,0,0,500